Cateogría Compuesta,Nivel 1,Nivel 2,Nivel 3,,,Keyword 1,Keyword 2
Cine y Televisión > Alien,Cine y Televisión,Alien,,,,Alien,
Terror > Alien,Terror,Alien,,,,Alien,
Cine y Televisión,Cine y Televisión,,,,,Alien,
Cine y Televisión > Alien vs Predator,Cine y Televisión,Alien vs Predator,,,,Alien vs Predator,
Terror > Alien vs Predator,Terror,Alien vs Predator,,,,Alien vs Predator,
Videojuegos > Alien vs Predator,Videojuegos,Alien vs Predator,,,,Alien vs Predator,
Videojuegos,Videojuegos,,,,,Alien vs Predator,
Terror > Ash Vs Evil Dead,Terror,Ash Vs Evil Dead,,,,Ash Vs Evil Dead,
Manga y Anime > Attack on Titan - Ataque de los Titanes - Shingeki no Kyojin,Manga y Anime,Attack on Titan - Ataque de los Titanes - Shingeki no Kyojin,,,,Attack on Titan,
Fabricantes / Marcas > Bandai,Fabricantes / Marcas,Bandai,,,,Bandai,
Fabricantes / Marcas > Banpresto,Fabricantes / Marcas,Banpresto,,,,Banpresto,
Cine y Televisión > Blade Runner,Cine y Televisión,Blade Runner,,,,Blade Runner,
Cine y Televisión,Cine y Televisión,,,,,Blade Runner,
Cine y Televisión > Breaking Bad,Cine y Televisión,Breaking Bad,,,,Breaking Bad,
Videojuegos > Call of Duty,Videojuegos,Call of Duty,,,,Call of Duty,
Videojuegos,Videojuegos,,,,,Call of Duty,
Manga y Anime > Captain Tsubasa - Campeones - Oliver y Benji,Manga y Anime,Captain Tsubasa - Campeones - Oliver y Benji,,,,Campeones,
Manga y Anime,Manga y Anime,,,,,Campeones,
Manga y Anime > Captain Tsubasa - Campeones - Oliver y Benji,Manga y Anime,Captain Tsubasa - Campeones - Oliver y Benji,,,,Captain Tsubasa,
Manga y Anime,Manga y Anime,,,,,Captain Tsubasa,
Manga y Anime > Cosmo Fleet Special,Manga y Anime,Cosmo Fleet Special,,,,Cosmo Fleet Special,
Manga y Anime,Manga y Anime,,,,,Cosmo Fleet Special,
Superhéroes > DC,Superhéroes,DC,,,,DC,
Manga y Anime > Death Note,Manga y Anime,Death Note,,,,Death Note,
Manga y Anime,Manga y Anime,,,,,Death Note,
Terror > Depredador - Predator,Terror,Depredador - Predator,,,,Depredador - Predator,
Videojuegos > Destiny,Videojuegos,Destiny,,,,Destiny,
Videojuegos,Videojuegos,,,,,Destiny,
Fabricantes / Marcas > Diamond Select Toys - Gallery,Fabricantes / Marcas,Diamond Select Toys - Gallery,,,,Diamond Select,
Cine y Televisión > Disney,Cine y Televisión,Disney,,,,Disney,
Cine y Televisión > Doctor Who,Cine y Televisión,Doctor Who,,,,Doctor Who,
Manga y Anime > Doreamon,Manga y Anime,Doreamon,,,,Doreamon,
Manga y Anime,Manga y Anime,,,,,Doreamon,
Manga y Anime > Dr. Slump - Arale,Manga y Anime,Dr. Slump - Arale,,,,Dr. Slump,
