id,name,description,category
Barcode,Tittle,Description,[]
3665361011477, Hucha Harry Potter Snitch Dorada , Hucha Harry Potter Snitch Dorada con ilusión óptica.,"[""Cine y Televisión"",""Funko Pop > Harry Potter"",""Cine y Televisión > Harry Potter""]"
5010993511099,Monopoly Tramposo,"¿Quién no ha hecho trampas alguna vez en Monopoly? Está es tu oportunidad de disfrutar de esta versión tan divertida del clásico juego de mesa y proponer tus propias trampas.

Respeta, rompe o incumple las reglas para ganar en esta edición del juego de Monopoly. Los jugadores podrán intentar hacer tantas trampas como les sea posible.

Las cartas de Trampas les indican a los jugadores qué trampas deben hacer.

Las esposas de plástico ''encadenan'' a los jugadores tramposos a la casilla de la cárcel.
Incluye:

Tablero de juego, unas esposas de plástico, 6 peones, 15 cartas de Trampas, 22 cartas de Título de Propiedad, 16 cartas de Suerte, 16 cartas de Caja de Comunidad, 16 hoteles, 2 dados, paquete de dinero, bandeja de la banca e instrucciones.","[""Juegos de mesa"",""Juegos de mesa"",""Juegos de mesa > Clásicos""]"
8425402271438,Virus 2: Evolution,Las medicinas convencionales ya no son efectivas contra los nuevos Virus. Trata de mantenerlos a raya poniéndolos en cuarentena para evitar su propgagación en este juego de mesa.,"[""Juegos de mesa""]"
8436564811479,H.D.P. Hasta Donde Puedas,"El juego de mesa ideal para tu Niño interior (Si tu Niño interior es un H.D.P.)

Completa el Enunciado de la Carta Negra con una de tus Cartas Blancas. Sé atrevido, absurdo, sarcástico, gilipollas, ridículo o lo que se te ocurra. Lo importante es que seas gracioso. O que creas que lo eres.

¡Ojo! Este Juego está lleno de Humor Negro. Si este tipo de humor no es de tu rollo, coge la caja con fuerza, lánzala lo más lejos que puedas y monta un pollo en la tienda. Pero después cómpralo: necesitamos comer.","[""Juegos de mesa""]"
8436017226577,PICK-A-CERDO,"En este juego de mesa pon mucha atención para seleccionar a tu equipo, ¡pero tienes que darte prisa! Pick-a-Cerdo también se puede
jugar en solitario. Si combinas una copia de Pick-a-Cerdo y Pick-a-Perro, no solo conseguirás incrementar el número
de cartas y de jugadores de la partida, sino que el juego se complicará un poco más al incluir un nuevo atributo
diferenciador: ¡el tipo de animal!","[""Juegos de mesa""]"
8410446623091,Escape Room Virtual Reality,"Ahora 2 nuevas apasionantes aventuras con REALIDAD VIRTUAL
Continuarás jugando a este juego de mesa con tu familia y amigos
Intenta acabar la aventura antes de que el tiempo se acabe.","[""Juegos de mesa""]"
8436589620605,La Tripulacion,"En este innovador juego de mesa los jugadores formamos parte de la misma tripulación. En cada partida tendremos que sortear peligros cada vez mayores y, además, con una pequeña dificultad añadida: ¡apenas podremos comunicarnos! Así pues, en silencio, los jugadores harán su juego de bazas, pero cada vez con un objetivo distinto. Si lo consiguen, ganarán la partida y pasarán a la siguiente fase.
Si fracasan, ¡deberán intentarlo de nuevo!
1. Cooperativo puro, sin efecto líder. 
2. Sistema de juego tradicional, basado en los juegos clásicos de bazas. 
3. Cada partida es un reto superior a la anterior. 
4. Nominado al Kennerspiel des Jahres 2020 (Juego Experto del Año). 

 Mecánicas: 
1. Gestión de la mano 
2. Juego de bazas 
3. Cooperativo
","[""Juegos de mesa""]"
5010993706693,Cluedo,"El clásico juego de mesa con un asesinato, seis sospechosos, innumerables combinaciones, pero una sola respuestamuévete de una habitación a otra y descubre quién lo hizo, dónde y con qué armainvestiga, disimula, acusa y gananueva versión para dos jugadores que añade un nuevo toque de intrigala carrera para encontrar al culpable ha comenzado ","[""Juegos de mesa""]"
8436017221817,CATAN PIRATAS Y EXPLORADORES,Expansión del juego de mesa Catán.,"[""Juegos de mesa""]"
